
start time is: 2018-01-10 10:35:38

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/0110train_1.conf
learning_rate = 0.00015
batch_size = 13
num_epoches = 300
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：复制baseline的权重作为place全局的权重，image权重不做调整。

Epoch 0: Train cost 5.25178050995, Train acc 0.0194029850746, test acc 0.0955223880597
the model has been saved !
Epoch 1: Train cost 4.47344779968, Train acc 0.0865671641791, test acc 0.369402985075
the model has been saved !
Epoch 2: Train cost 3.02501869202, Train acc 0.39552238806, test acc 0.714925373134
the model has been saved !
Epoch 3: Train cost 1.71000277996, Train acc 0.697947761194, test acc 0.760447761194
the model has been saved !
Epoch 4: Train cost 1.12481307983, Train acc 0.836753731343, test acc 0.747014925373
Epoch 5: Train cost 0.843357503414, Train acc 0.889925373134, test acc 0.770149253731
the model has been saved !
Epoch 6: Train cost 0.682636678219, Train acc 0.919402985075, test acc 0.768656716418
Epoch 7: Train cost 0.57168918848, Train acc 0.93302238806, test acc 0.772388059701
the model has been saved !
Epoch 8: Train cost 0.476470351219, Train acc 0.944402985075, test acc 0.774626865672
the model has been saved !
Epoch 9: Train cost 0.406733393669, Train acc 0.959141791045, test acc 0.783582089552
the model has been saved !
Epoch 10: Train cost 0.375201493502, Train acc 0.959701492537, test acc 0.760447761194
Epoch 11: Train cost 0.331679165363, Train acc 0.967164179104, test acc 0.776865671642
Epoch 12: Train cost 0.29850050807, Train acc 0.973880597015, test acc 0.774626865672
Epoch 13: Train cost 0.286121606827, Train acc 0.971828358209, test acc 0.755223880597
Epoch 14: Train cost 0.270779341459, Train acc 0.973694029851, test acc 0.767164179104
Epoch 15: Train cost 0.242832988501, Train acc 0.979664179104, test acc 0.767910447761
Epoch 16: Train cost 0.228933498263, Train acc 0.980970149254, test acc 0.779104477612
Epoch 17: Train cost 0.208702996373, Train acc 0.983208955224, test acc 0.75671641791
Epoch 18: Train cost 0.2005661726, Train acc 0.98526119403, test acc 0.766417910448
Epoch 19: Train cost 0.194988146424, Train acc 0.984328358209, test acc 0.774626865672
Epoch 20: Train cost 0.184038028121, Train acc 0.986567164179, test acc 0.784328358209
the model has been saved !
Epoch 21: Train cost 0.164578706026, Train acc 0.992350746269, test acc 0.768656716418
Epoch 22: Train cost 0.176647126675, Train acc 0.987313432836, test acc 0.765671641791
Epoch 23: Train cost 0.167899295688, Train acc 0.990858208955, test acc 0.760447761194
Epoch 24: Train cost 0.163304269314, Train acc 0.990298507463, test acc 0.764179104478
Epoch 25: Train cost 0.162937000394, Train acc 0.989925373134, test acc 0.769402985075
Epoch 26: Train cost 0.155162334442, Train acc 0.992350746269, test acc 0.768656716418
Epoch 27: Train cost 0.1463855654, Train acc 0.991604477612, test acc 0.763432835821
Epoch 28: Train cost 0.153689414263, Train acc 0.990671641791, test acc 0.770149253731
Epoch 29: Train cost 0.145597457886, Train acc 0.994029850746, test acc 0.768656716418
Epoch 30: Train cost 0.142009019852, Train acc 0.993470149254, test acc 0.773134328358
Epoch 31: Train cost 0.152935937047, Train acc 0.991044776119, test acc 0.769402985075
Epoch 32: Train cost 0.143050163984, Train acc 0.992910447761, test acc 0.755970149254
Epoch 33: Train cost 0.135683789849, Train acc 0.99421641791, test acc 0.762686567164
Epoch 34: Train cost 0.140100449324, Train acc 0.992910447761, test acc 0.773134328358
Epoch 35: Train cost 0.129698932171, Train acc 0.994402985075, test acc 0.779104477612
Epoch 36: Train cost 0.132645219564, Train acc 0.993656716418, test acc 0.765671641791
Epoch 37: Train cost 0.133176013827, Train acc 0.99421641791, test acc 0.769402985075
Epoch 38: Train cost 0.129877671599, Train acc 0.99421641791, test acc 0.763432835821
Epoch 39: Train cost 0.125626981258, Train acc 0.996828358209, test acc 0.763432835821
Epoch 40: Train cost 0.127809211612, Train acc 0.99552238806, test acc 0.767910447761
Epoch 41: Train cost 0.131094664335, Train acc 0.99328358209, test acc 0.770895522388
Epoch 42: Train cost 0.120631590486, Train acc 0.996082089552, test acc 0.764925373134
Epoch 43: Train cost 0.12377911061, Train acc 0.993656716418, test acc 0.772388059701
Epoch 44: Train cost 0.126481354237, Train acc 0.994402985075, test acc 0.769402985075
Epoch 45: Train cost 0.118041068316, Train acc 0.996641791045, test acc 0.770895522388
Epoch 46: Train cost 0.119202174246, Train acc 0.99552238806, test acc 0.764925373134
Epoch 47: Train cost 0.122580245137, Train acc 0.993843283582, test acc 0.758955223881
Epoch 48: Train cost 0.115659624338, Train acc 0.996268656716, test acc 0.776865671642
Epoch 49: Train cost 0.112778820097, Train acc 0.996641791045, test acc 0.767164179104
Epoch 50: Train cost 0.120353192091, Train acc 0.994962686567, test acc 0.775373134328
Epoch 51: Train cost 0.111874073744, Train acc 0.997014925373, test acc 0.774626865672
Epoch 52: Train cost 0.115959905088, Train acc 0.996268656716, test acc 0.773880597015
Epoch 53: Train cost 0.109774388373, Train acc 0.99776119403, test acc 0.775373134328
Epoch 54: Train cost 0.112649820745, Train acc 0.997014925373, test acc 0.766417910448
Epoch 55: Train cost 0.11097959429, Train acc 0.997388059701, test acc 0.765671641791
Epoch 56: Train cost 0.10996517539, Train acc 0.997574626866, test acc 0.779104477612
Epoch 57: Train cost 0.107075840235, Train acc 0.998320895522, test acc 0.770149253731
Epoch 58: Train cost 0.111370697618, Train acc 0.996082089552, test acc 0.766417910448
Epoch 59: Train cost 0.109102956951, Train acc 0.997574626866, test acc 0.779104477612
Epoch 60: Train cost 0.114488378167, Train acc 0.994776119403, test acc 0.775373134328
Epoch 61: Train cost 0.108390308917, Train acc 0.998134328358, test acc 0.776865671642
Epoch 62: Train cost 0.112735942006, Train acc 0.995335820896, test acc 0.770895522388
Epoch 63: Train cost 0.106482200325, Train acc 0.998134328358, test acc 0.781343283582
Epoch 64: Train cost 0.108268015087, Train acc 0.99776119403, test acc 0.772388059701
Epoch 65: Train cost 0.109745830297, Train acc 0.997388059701, test acc 0.770149253731
Epoch 66: Train cost 0.116593144834, Train acc 0.99552238806, test acc 0.774626865672
Epoch 67: Train cost 0.105278261006, Train acc 0.997947761194, test acc 0.776865671642
Epoch 68: Train cost 0.107858933508, Train acc 0.997201492537, test acc 0.764925373134
Epoch 69: Train cost 0.107210077345, Train acc 0.996641791045, test acc 0.788059701493
the model has been saved !
Epoch 70: Train cost 0.105179607868, Train acc 0.998320895522, test acc 0.780597014925
Epoch 71: Train cost 0.106874607503, Train acc 0.997574626866, test acc 0.768656716418
Epoch 72: Train cost 0.103822186589, Train acc 0.99776119403, test acc 0.770149253731
Epoch 73: Train cost 0.10556076467, Train acc 0.997201492537, test acc 0.773880597015
Epoch 74: Train cost 0.106502711773, Train acc 0.996641791045, test acc 0.767164179104
Epoch 75: Train cost 0.109387613833, Train acc 0.996641791045, test acc 0.770895522388
Epoch 76: Train cost 0.109103031456, Train acc 0.997201492537, test acc 0.767910447761
Epoch 77: Train cost 0.109962187707, Train acc 0.996455223881, test acc 0.763432835821
Epoch 78: Train cost 0.109204269946, Train acc 0.997388059701, test acc 0.772388059701
Epoch 79: Train cost 0.102891370654, Train acc 0.997947761194, test acc 0.765671641791
Epoch 80: Train cost 0.102804675698, Train acc 0.997574626866, test acc 0.768656716418
Epoch 81: Train cost 0.106106139719, Train acc 0.997014925373, test acc 0.761940298507
Epoch 82: Train cost 0.106796503067, Train acc 0.996455223881, test acc 0.775373134328
Epoch 83: Train cost 0.107160814106, Train acc 0.997388059701, test acc 0.767164179104
Epoch 84: Train cost 0.104654371738, Train acc 0.997574626866, test acc 0.769402985075
Epoch 85: Train cost 0.103900976479, Train acc 0.997947761194, test acc 0.753731343284
Epoch 86: Train cost 0.102943345904, Train acc 0.998134328358, test acc 0.762686567164
Epoch 87: Train cost 0.103153891861, Train acc 0.996828358209, test acc 0.771641791045
Epoch 88: Train cost 0.103896990418, Train acc 0.997388059701, test acc 0.763432835821
Epoch 89: Train cost 0.103385463357, Train acc 0.998320895522, test acc 0.768656716418
Epoch 90: Train cost 0.105565130711, Train acc 0.996828358209, test acc 0.770895522388
Epoch 91: Train cost 0.102865889668, Train acc 0.998134328358, test acc 0.768656716418
Epoch 92: Train cost 0.100648745894, Train acc 0.998880597015, test acc 0.773880597015
Epoch 93: Train cost 0.103212922812, Train acc 0.998320895522, test acc 0.775373134328
Epoch 94: Train cost 0.0996865183115, Train acc 0.998694029851, test acc 0.770895522388
Epoch 95: Train cost 0.100512139499, Train acc 0.998507462687, test acc 0.770149253731
Epoch 96: Train cost 0.101056717336, Train acc 0.997574626866, test acc 0.767164179104
Epoch 97: Train cost 0.103068932891, Train acc 0.997947761194, test acc 0.773134328358
Epoch 98: Train cost 0.102525815368, Train acc 0.997947761194, test acc 0.767910447761
Epoch 99: Train cost 0.101042360067, Train acc 0.998134328358, test acc 0.773880597015
Epoch 100: Train cost 0.102479852736, Train acc 0.997388059701, test acc 0.778358208955
Epoch 101: Train cost 0.0994884520769, Train acc 0.999253731343, test acc 0.771641791045
Epoch 102: Train cost 0.101344779134, Train acc 0.998507462687, test acc 0.771641791045
Epoch 103: Train cost 0.0998371839523, Train acc 0.998507462687, test acc 0.778358208955
Epoch 104: Train cost 0.0997930541635, Train acc 0.997947761194, test acc 0.775373134328
Epoch 105: Train cost 0.100481063128, Train acc 0.998134328358, test acc 0.779104477612
Epoch 106: Train cost 0.103168845177, Train acc 0.99776119403, test acc 0.767910447761
Epoch 107: Train cost 0.100091077387, Train acc 0.998134328358, test acc 0.775373134328
Epoch 108: Train cost 0.100157894194, Train acc 0.998320895522, test acc 0.782835820896
Epoch 109: Train cost 0.101592570543, Train acc 0.998320895522, test acc 0.772388059701
Epoch 110: Train cost 0.105589523911, Train acc 0.996455223881, test acc 0.767164179104
Epoch 111: Train cost 0.0984659418464, Train acc 0.998694029851, test acc 0.771641791045
Epoch 112: Train cost 0.0996749252081, Train acc 0.998134328358, test acc 0.782089552239
Epoch 113: Train cost 0.100598394871, Train acc 0.997947761194, test acc 0.763432835821
Epoch 114: Train cost 0.103557832539, Train acc 0.997947761194, test acc 0.762686567164
Epoch 115: Train cost 0.0994810536504, Train acc 0.997947761194, test acc 0.766417910448
Epoch 116: Train cost 0.0987266898155, Train acc 0.998880597015, test acc 0.770149253731
Epoch 117: Train cost 0.101200409234, Train acc 0.997947761194, test acc 0.770149253731
Epoch 118: Train cost 0.100578822196, Train acc 0.998694029851, test acc 0.774626865672
Epoch 119: Train cost 0.101709350944, Train acc 0.997947761194, test acc 0.763432835821
Epoch 120: Train cost 0.0992626920342, Train acc 0.998134328358, test acc 0.769402985075
Epoch 121: Train cost 0.100778482854, Train acc 0.998134328358, test acc 0.762686567164
Epoch 122: Train cost 0.0995600298047, Train acc 0.998320895522, test acc 0.770149253731
Epoch 123: Train cost 0.101244226098, Train acc 0.998134328358, test acc 0.769402985075
Epoch 124: Train cost 0.0991690307856, Train acc 0.998320895522, test acc 0.769402985075
Epoch 125: Train cost 0.0988313630223, Train acc 0.998694029851, test acc 0.770895522388
Epoch 126: Train cost 0.0974727571011, Train acc 0.998507462687, test acc 0.774626865672
Epoch 127: Train cost 0.0971204191446, Train acc 0.999440298507, test acc 0.770149253731
Epoch 128: Train cost 0.0980211868882, Train acc 0.998880597015, test acc 0.767164179104
Epoch 129: Train cost 0.100230276585, Train acc 0.997574626866, test acc 0.770895522388
Epoch 130: Train cost 0.0995852053165, Train acc 0.998134328358, test acc 0.766417910448
Epoch 131: Train cost 0.10239277035, Train acc 0.997947761194, test acc 0.770149253731
Epoch 132: Train cost 0.100494660437, Train acc 0.997388059701, test acc 0.770149253731
Epoch 133: Train cost 0.10007660836, Train acc 0.997574626866, test acc 0.764179104478
Epoch 134: Train cost 0.103568553925, Train acc 0.997388059701, test acc 0.773134328358
Epoch 135: Train cost 0.0970545634627, Train acc 0.998320895522, test acc 0.774626865672
Epoch 136: Train cost 0.0994424298406, Train acc 0.998694029851, test acc 0.777611940299
Epoch 137: Train cost 0.0995182096958, Train acc 0.997014925373, test acc 0.769402985075
Epoch 138: Train cost 0.0997962802649, Train acc 0.998320895522, test acc 0.776865671642
Epoch 139: Train cost 0.0989804789424, Train acc 0.99776119403, test acc 0.776119402985
Epoch 140: Train cost 0.0973910465837, Train acc 0.998694029851, test acc 0.775373134328
Epoch 141: Train cost 0.100121282041, Train acc 0.997947761194, test acc 0.778358208955
Epoch 142: Train cost 0.0965463742614, Train acc 0.999067164179, test acc 0.776119402985
Epoch 143: Train cost 0.0959976688027, Train acc 0.999067164179, test acc 0.774626865672
Epoch 144: Train cost 0.0960596352816, Train acc 0.998880597015, test acc 0.779104477612
Epoch 145: Train cost 0.0993748232722, Train acc 0.997947761194, test acc 0.773880597015
Epoch 146: Train cost 0.0982407778502, Train acc 0.998320895522, test acc 0.780597014925
Epoch 147: Train cost 0.0985196903348, Train acc 0.998320895522, test acc 0.771641791045
Epoch 148: Train cost 0.0979480221868, Train acc 0.999067164179, test acc 0.779104477612
Epoch 149: Train cost 0.0977372154593, Train acc 0.998507462687, test acc 0.780597014925
Epoch 150: Train cost 0.0981801301241, Train acc 0.997947761194, test acc 0.768656716418
Epoch 151: Train cost 0.0967281460762, Train acc 0.999067164179, test acc 0.781343283582
Epoch 152: Train cost 0.0966465249658, Train acc 0.999440298507, test acc 0.771641791045
Epoch 153: Train cost 0.0973396971822, Train acc 0.998507462687, test acc 0.770895522388
Epoch 154: Train cost 0.0975092872977, Train acc 0.998694029851, test acc 0.765671641791
Epoch 155: Train cost 0.0987723767757, Train acc 0.99776119403, test acc 0.789552238806
the model has been saved !
