start time is: 2017-12-20 10:23:24

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/1220train_1.conf
learning_rate = 0.001
batch_size = 26
num_epoches = 200
model_file :/home/ubuntu/wangchen/work/Indoor/models/best_model.pkl

其余要说明的事项 ：微调place预训练的权重,learning decay指数下降,l2正则化。

Epoch 0: Train cost 2.66791319847, Train acc 0.342164179104, test acc 0.614925373134
Epoch 1: Train cost 1.12559998035, Train acc 0.679850746269, test acc 0.70447761194
Epoch 2: Train cost 0.668713569641, Train acc 0.801305970149, test acc 0.728358208955
Epoch 3: Train cost 0.3834156394, Train acc 0.884514925373, test acc 0.729104477612
Epoch 4: Train cost 0.245230853558, Train acc 0.932649253731, test acc 0.70223880597
Epoch 5: Train cost 0.175663307309, Train acc 0.954291044776, test acc 0.740298507463
Epoch 6: Train cost 0.118491061032, Train acc 0.973507462687, test acc 0.744776119403
Epoch 7: Train cost 0.111237674952, Train acc 0.975186567164, test acc 0.74552238806
Epoch 8: Train cost 0.0719236060977, Train acc 0.987313432836, test acc 0.726119402985
Epoch 9: Train cost 0.093823865056, Train acc 0.982835820896, test acc 0.712686567164
Epoch 10: Train cost 0.0680235624313, Train acc 0.988619402985, test acc 0.734328358209
Epoch 11: Train cost 0.0572573281825, Train acc 0.991231343284, test acc 0.714179104478
Epoch 12: Train cost 0.0544875152409, Train acc 0.992164179104, test acc 0.742537313433
Epoch 13: Train cost 0.0484375469387, Train acc 0.995708955224, test acc 0.726865671642
Epoch 14: Train cost 0.0481203384697, Train acc 0.993656716418, test acc 0.735074626866
Epoch 15: Train cost 0.0342446565628, Train acc 0.998134328358, test acc 0.748507462687
Epoch 16: Train cost 0.0367066971958, Train acc 0.997388059701, test acc 0.755223880597
Epoch 17: Train cost 0.0337786860764, Train acc 0.998134328358, test acc 0.733582089552
Epoch 18: Train cost 0.0368410497904, Train acc 0.997388059701, test acc 0.74776119403
Epoch 19: Train cost 0.0376045107841, Train acc 0.997014925373, test acc 0.753731343284
Epoch 20: Train cost 0.0338662862778, Train acc 0.998134328358, test acc 0.767910447761
Epoch 21: Train cost 0.0315868854523, Train acc 0.997947761194, test acc 0.75671641791
Epoch 22: Train cost 0.0318428203464, Train acc 0.998507462687, test acc 0.758208955224
Epoch 23: Train cost 0.0319043137133, Train acc 0.998320895522, test acc 0.747014925373
Epoch 24: Train cost 0.0327734425664, Train acc 0.998134328358, test acc 0.761194029851
Epoch 25: Train cost 0.0330339372158, Train acc 0.99776119403, test acc 0.757462686567
Epoch 26: Train cost 0.0316021554172, Train acc 0.998507462687, test acc 0.766417910448
Epoch 27: Train cost 0.0296938661486, Train acc 0.998694029851, test acc 0.758955223881
Epoch 28: Train cost 0.0299168787897, Train acc 0.998880597015, test acc 0.767910447761
Epoch 29: Train cost 0.0307505019009, Train acc 0.998320895522, test acc 0.767910447761
Epoch 30: Train cost 0.0373010635376, Train acc 0.99776119403, test acc 0.762686567164
Epoch 31: Train cost 0.0303237196058, Train acc 0.998694029851, test acc 0.762686567164
Epoch 32: Train cost 0.03044927679, Train acc 0.998320895522, test acc 0.758955223881
Epoch 33: Train cost 0.0313330516219, Train acc 0.998507462687, test acc 0.761194029851
