
start time is: 2017-12-20 19:25:10

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/1220train_2.conf
learning_rate = 0.001
batch_size = 5
num_epoches = 200
model_file :/home/ubuntu/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：微调place预训练的权重,learning rate decay,l2正则化。

Epoch 0: Train cost 2.70808625221, Train acc 0.338246268657, test acc 0.511940298507
global cost 4.63807821274, inc1 cost 4.29806804657, inc2 cost 4.31964826584
Epoch 1: Train cost 1.51880037785, Train acc 0.59328358209, test acc 0.592537313433
global cost 4.69761371613, inc1 cost 4.23421525955, inc2 cost 4.23724269867
Epoch 2: Train cost 0.939631700516, Train acc 0.749440298507, test acc 0.534328358209
global cost 4.84994268417, inc1 cost 4.23092556, inc2 cost 4.23214435577
Epoch 3: Train cost 0.599070191383, Train acc 0.846828358209, test acc 0.563432835821
global cost 4.92157936096, inc1 cost 4.22281837463, inc2 cost 4.22956323624
Epoch 4: Train cost 0.426197975874, Train acc 0.90223880597, test acc 0.563432835821
global cost 5.08844327927, inc1 cost 4.22650241852, inc2 cost 4.22592592239
Epoch 5: Train cost 0.262074828148, Train acc 0.957089552239, test acc 0.611940298507
global cost 5.26513576508, inc1 cost 4.22265005112, inc2 cost 4.22402572632
Epoch 6: Train cost 0.260205358267, Train acc 0.952798507463, test acc 0.602985074627
global cost 5.24531126022, inc1 cost 4.21997880936, inc2 cost 4.22203588486
Epoch 7: Train cost 0.263049840927, Train acc 0.952425373134, test acc 0.582835820896
global cost 5.3279299736, inc1 cost 4.21626234055, inc2 cost 4.21755456924
Epoch 8: Train cost 0.189150169492, Train acc 0.976865671642, test acc 0.601492537313
global cost 5.41578912735, inc1 cost 4.22167348862, inc2 cost 4.21882724762
Epoch 9: Train cost 0.172399863601, Train acc 0.982835820896, test acc 0.634328358209
global cost 5.36522436142, inc1 cost 4.21665668488, inc2 cost 4.21651887894
Epoch 10: Train cost 0.133853763342, Train acc 0.990671641791, test acc 0.631343283582
global cost 5.49453878403, inc1 cost 4.22314119339, inc2 cost 4.21816635132
Epoch 11: Train cost 0.149157613516, Train acc 0.989552238806, test acc 0.632089552239
global cost 5.42581176758, inc1 cost 4.22068023682, inc2 cost 4.21650505066
Epoch 12: Train cost 0.134659230709, Train acc 0.98973880597, test acc 0.620149253731
global cost 5.46442604065, inc1 cost 4.22754526138, inc2 cost 4.2148938179
Epoch 13: Train cost 0.165696978569, Train acc 0.981529850746, test acc 0.577611940299
global cost 5.46277570724, inc1 cost 4.22570610046, inc2 cost 4.21667051315
Epoch 14: Train cost 0.126643136144, Train acc 0.992164179104, test acc 0.609701492537
global cost 5.61533784866, inc1 cost 4.21832799911, inc2 cost 4.21524763107
Epoch 15: Train cost 0.122825056314, Train acc 0.995335820896, test acc 0.615671641791
global cost 5.6724486351, inc1 cost 4.22784471512, inc2 cost 4.21488666534
Epoch 16: Train cost 0.112253330648, Train acc 0.996828358209, test acc 0.650746268657
global cost 5.65265512466, inc1 cost 4.22092247009, inc2 cost 4.21543693542
Epoch 17: Train cost 0.112487368286, Train acc 0.997014925373, test acc 0.655970149254
global cost 5.54943370819, inc1 cost 4.22052621841, inc2 cost 4.21628236771
Epoch 18: Train cost 0.106597162783, Train acc 0.998320895522, test acc 0.65447761194
global cost 5.67288351059, inc1 cost 4.21749639511, inc2 cost 4.2162322998
Epoch 19: Train cost 0.107196561992, Train acc 0.998134328358, test acc 0.670149253731
global cost 5.65192937851, inc1 cost 4.21905374527, inc2 cost 4.21613502502
Epoch 20: Train cost 0.107016064227, Train acc 0.998320895522, test acc 0.673880597015
global cost 5.63154602051, inc1 cost 4.21684408188, inc2 cost 4.21535730362
Epoch 21: Train cost 0.107001759112, Train acc 0.998134328358, test acc 0.668656716418
global cost 5.57759284973, inc1 cost 4.2185883522, inc2 cost 4.21713113785
Epoch 22: Train cost 0.105713829398, Train acc 0.998320895522, test acc 0.670895522388
global cost 5.57815504074, inc1 cost 4.21597671509, inc2 cost 4.21554994583
Epoch 23: Train cost 0.10396527499, Train acc 0.998880597015, test acc 0.676119402985
global cost 5.69194030762, inc1 cost 4.21944475174, inc2 cost 4.21680736542
Epoch 24: Train cost 0.105551451445, Train acc 0.998507462687, test acc 0.676119402985
global cost 5.66439819336, inc1 cost 4.21638345718, inc2 cost 4.21622657776
Epoch 25: Train cost 0.106979772449, Train acc 0.998134328358, test acc 0.679850746269
global cost 5.60447788239, inc1 cost 4.21863365173, inc2 cost 4.21317958832
Epoch 26: Train cost 0.105436623096, Train acc 0.998320895522, test acc 0.680597014925
global cost 5.58799982071, inc1 cost 4.21780204773, inc2 cost 4.21535491943
Epoch 27: Train cost 0.104076109827, Train acc 0.998507462687, test acc 0.677611940299
global cost 5.65006542206, inc1 cost 4.21923685074, inc2 cost 4.21525478363
Epoch 28: Train cost 0.103944420815, Train acc 0.998880597015, test acc 0.670149253731
global cost 5.72843360901, inc1 cost 4.21805477142, inc2 cost 4.21359586716
Epoch 29: Train cost 0.104051820934, Train acc 0.998320895522, test acc 0.678358208955
global cost 5.71744251251, inc1 cost 4.21842241287, inc2 cost 4.21887588501
Epoch 30: Train cost 0.104707635939, Train acc 0.998507462687, test acc 0.677611940299
global cost 5.77742576599, inc1 cost 4.21829175949, inc2 cost 4.21235370636
Epoch 31: Train cost 0.104102887213, Train acc 0.998880597015, test acc 0.679850746269
global cost 5.72351455688, inc1 cost 4.21855783463, inc2 cost 4.21279144287
Epoch 32: Train cost 0.103899747133, Train acc 0.999067164179, test acc 0.682089552239
global cost 5.6975903511, inc1 cost 4.21985769272, inc2 cost 4.21562671661
Epoch 33: Train cost 0.103422217071, Train acc 0.998880597015, test acc 0.683582089552
global cost 5.68327331543, inc1 cost 4.22128725052, inc2 cost 4.21573209763
Epoch 34: Train cost 0.104832835495, Train acc 0.998507462687, test acc 0.676119402985
global cost 5.68573713303, inc1 cost 4.21602392197, inc2 cost 4.216401577
Epoch 35: Train cost 0.103586271405, Train acc 0.998320895522, test acc 0.678358208955
global cost 5.7548866272, inc1 cost 4.21808862686, inc2 cost 4.21327400208
Epoch 36: Train cost 0.103449545801, Train acc 0.998507462687, test acc 0.678358208955
global cost 5.78541183472, inc1 cost 4.22081422806, inc2 cost 4.21330738068
Epoch 37: Train cost 0.103645555675, Train acc 0.998134328358, test acc 0.678358208955
global cost 5.85017538071, inc1 cost 4.21713876724, inc2 cost 4.21398544312
Epoch 38: Train cost 0.104215376079, Train acc 0.998507462687, test acc 0.673880597015
global cost 5.82589149475, inc1 cost 4.22218799591, inc2 cost 4.21310567856
Epoch 39: Train cost 0.104850709438, Train acc 0.997947761194, test acc 0.665671641791
global cost 5.76461267471, inc1 cost 4.2185382843, inc2 cost 4.21392297745
Epoch 40: Train cost 0.103340886533, Train acc 0.998507462687, test acc 0.673880597015
global cost 5.69723415375, inc1 cost 4.22017860413, inc2 cost 4.21601963043
Epoch 41: Train cost 0.102357305586, Train acc 0.999067164179, test acc 0.679104477612
global cost 5.73815727234, inc1 cost 4.21565008163, inc2 cost 4.21349716187
Epoch 42: Train cost 0.103061854839, Train acc 0.998694029851, test acc 0.677611940299
