
start time is: 2017-12-24 20:26:25

this experiment hyperparameters are:
config_file :/home/rootcs412/wangchen/work/Indoor/config/1224train_1.conf
learning_rate = 0.01
batch_size = 13
num_epoches = 300
model_file :/home/rootcs412/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：learning rate decay,l2正则化,增大batch_size。

Epoch 0: Train cost 7.53387451172, Train acc 0.27052238806, test acc 0.332835820896
global cost 4.20458984375, inc1 cost 4.94371938705, inc2 cost 4.77316904068
Epoch 1: Train cost 6.18967485428, Train acc 0.548134328358, test acc 0.442537313433
global cost 3.07588744164, inc1 cost 4.94895458221, inc2 cost 4.59355068207
Epoch 2: Train cost 5.62637376785, Train acc 0.686007462687, test acc 0.494776119403
global cost 2.22622919083, inc1 cost 4.93386936188, inc2 cost 4.6208281517
Epoch 3: Train cost 5.59922790527, Train acc 0.700186567164, test acc 0.669402985075
global cost 2.04342579842, inc1 cost 5.31830692291, inc2 cost 4.66834592819
Epoch 4: Train cost 5.0080370903, Train acc 0.840298507463, test acc 0.676865671642
global cost 1.25059843063, inc1 cost 5.20210456848, inc2 cost 4.71591186523
Epoch 5: Train cost 4.81389522552, Train acc 0.890111940299, test acc 0.663432835821
global cost 0.932088732719, inc1 cost 5.3536901474, inc2 cost 4.69726610184
Epoch 6: Train cost 4.67424678802, Train acc 0.924813432836, test acc 0.686567164179
global cost 0.70704883337, inc1 cost 5.3818731308, inc2 cost 4.74494361877
Epoch 7: Train cost 4.65143108368, Train acc 0.932089552239, test acc 0.723880597015
global cost 0.639869093895, inc1 cost 5.41768693924, inc2 cost 4.76837778091
Epoch 8: Train cost 4.52637004852, Train acc 0.956529850746, test acc 0.367910447761
global cost 0.447255283594, inc1 cost 5.49297142029, inc2 cost 4.759973526
Epoch 9: Train cost 4.58278274536, Train acc 0.948694029851, test acc 0.683582089552
global cost 0.524153351784, inc1 cost 5.49332380295, inc2 cost 4.79641389847
Epoch 10: Train cost 4.41475439072, Train acc 0.980597014925, test acc 0.723134328358
global cost 0.276821702719, inc1 cost 5.60346412659, inc2 cost 4.80226993561
Epoch 11: Train cost 4.36049985886, Train acc 0.986194029851, test acc 0.733582089552
