
start time is: 2018-01-17 09:45:04

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/0117train_1.conf
learning_rate = 0.00015
batch_size = 12
num_epoches = 300
model_file :/home/ubuntu/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：复现左边0108trian1实验,目的是使用小的学习率打印混淆矩阵,1+2 两个place 一个image。

Epoch 0: Train cost 4.83559465408, Train acc 0.0602611940299, test acc 0.382089552239
the model has been saved !
Epoch 1: Train cost 3.34067416191, Train acc 0.295708955224, test acc 0.611194029851
the model has been saved !
Epoch 2: Train cost 2.39121246338, Train acc 0.491044776119, test acc 0.708208955224
the model has been saved !
Epoch 3: Train cost 1.86896181107, Train acc 0.606529850746, test acc 0.726865671642
the model has been saved !
Epoch 4: Train cost 1.52955698967, Train acc 0.691231343284, test acc 0.736567164179
the model has been saved !
Epoch 5: Train cost 1.26869058609, Train acc 0.749626865672, test acc 0.767164179104
the model has been saved !
Epoch 6: Train cost 1.10687184334, Train acc 0.77947761194, test acc 0.758955223881
Epoch 7: Train cost 0.926173686981, Train acc 0.819962686567, test acc 0.782089552239
the model has been saved !
Epoch 8: Train cost 0.804865777493, Train acc 0.846641791045, test acc 0.761194029851
Epoch 9: Train cost 0.682441711426, Train acc 0.878358208955, test acc 0.771641791045
Epoch 10: Train cost 0.606341660023, Train acc 0.889552238806, test acc 0.784328358209
the model has been saved !
Epoch 11: Train cost 0.523876488209, Train acc 0.910447761194, test acc 0.777611940299
Epoch 12: Train cost 0.47172665596, Train acc 0.925, test acc 0.776865671642
Epoch 13: Train cost 0.427352041006, Train acc 0.934888059701, test acc 0.768656716418
Epoch 14: Train cost 0.369220525026, Train acc 0.951305970149, test acc 0.766417910448
Epoch 15: Train cost 0.332548737526, Train acc 0.957462686567, test acc 0.780597014925
Epoch 16: Train cost 0.312962472439, Train acc 0.959701492537, test acc 0.784328358209
Epoch 17: Train cost 0.275218248367, Train acc 0.971082089552, test acc 0.788805970149
the model has been saved !
Epoch 18: Train cost 0.243835344911, Train acc 0.975746268657, test acc 0.773880597015
Epoch 19: Train cost 0.241437658668, Train acc 0.977052238806, test acc 0.791791044776
the model has been saved !
Epoch 20: Train cost 0.238794952631, Train acc 0.975373134328, test acc 0.781343283582
Epoch 21: Train cost 0.207980781794, Train acc 0.981156716418, test acc 0.774626865672
Epoch 22: Train cost 0.202131330967, Train acc 0.981902985075, test acc 0.781343283582
Epoch 23: Train cost 0.193538367748, Train acc 0.986380597015, test acc 0.790298507463
Epoch 24: Train cost 0.180532768369, Train acc 0.986940298507, test acc 0.774626865672
Epoch 25: Train cost 0.177780941129, Train acc 0.987313432836, test acc 0.785074626866
Epoch 26: Train cost 0.170332089067, Train acc 0.987686567164, test acc 0.791791044776
Epoch 27: Train cost 0.159887939692, Train acc 0.990298507463, test acc 0.780597014925
Epoch 28: Train cost 0.159768119454, Train acc 0.98973880597, test acc 0.782089552239
Epoch 29: Train cost 0.153567016125, Train acc 0.991417910448, test acc 0.792537313433
the model has been saved !
Epoch 30: Train cost 0.160547852516, Train acc 0.990298507463, test acc 0.792537313433
Epoch 31: Train cost 0.14924788475, Train acc 0.992164179104, test acc 0.782089552239
Epoch 32: Train cost 0.145959049463, Train acc 0.992723880597, test acc 0.786567164179
Epoch 33: Train cost 0.143515944481, Train acc 0.992537313433, test acc 0.782089552239
Epoch 34: Train cost 0.143808662891, Train acc 0.990858208955, test acc 0.788805970149
Epoch 35: Train cost 0.140627786517, Train acc 0.992537313433, test acc 0.785074626866
Epoch 36: Train cost 0.133110150695, Train acc 0.99421641791, test acc 0.779104477612
Epoch 37: Train cost 0.128404736519, Train acc 0.996268656716, test acc 0.785820895522
Epoch 38: Train cost 0.129577130079, Train acc 0.995149253731, test acc 0.774626865672
Epoch 39: Train cost 0.127703741193, Train acc 0.994402985075, test acc 0.782835820896
Epoch 40: Train cost 0.121256157756, Train acc 0.99552238806, test acc 0.788059701493
Epoch 41: Train cost 0.122813247144, Train acc 0.996082089552, test acc 0.779850746269
Epoch 42: Train cost 0.119312226772, Train acc 0.996828358209, test acc 0.792537313433
Epoch 43: Train cost 0.120952948928, Train acc 0.995708955224, test acc 0.778358208955
Epoch 44: Train cost 0.120349809527, Train acc 0.996082089552, test acc 0.784328358209
Epoch 45: Train cost 0.117763660848, Train acc 0.995895522388, test acc 0.785820895522
Epoch 46: Train cost 0.123314000666, Train acc 0.994402985075, test acc 0.785074626866
Epoch 47: Train cost 0.116643540561, Train acc 0.996455223881, test acc 0.773880597015
Epoch 48: Train cost 0.117763929069, Train acc 0.996082089552, test acc 0.779850746269
Epoch 49: Train cost 0.116105057299, Train acc 0.996828358209, test acc 0.791791044776
Epoch 50: Train cost 0.11586908251, Train acc 0.995708955224, test acc 0.778358208955
Epoch 51: Train cost 0.110541991889, Train acc 0.998134328358, test acc 0.788059701493
Epoch 52: Train cost 0.113509140909, Train acc 0.997388059701, test acc 0.781343283582
Epoch 53: Train cost 0.112513542175, Train acc 0.997574626866, test acc 0.782089552239
Epoch 54: Train cost 0.108651593328, Train acc 0.997014925373, test acc 0.789552238806
Epoch 55: Train cost 0.115361183882, Train acc 0.996082089552, test acc 0.781343283582
Epoch 56: Train cost 0.11088578403, Train acc 0.997201492537, test acc 0.787313432836
Epoch 57: Train cost 0.107399530709, Train acc 0.997947761194, test acc 0.785074626866
Epoch 58: Train cost 0.112912304699, Train acc 0.996641791045, test acc 0.791044776119
Epoch 59: Train cost 0.113100484014, Train acc 0.996641791045, test acc 0.785820895522
Epoch 60: Train cost 0.108013659716, Train acc 0.997388059701, test acc 0.788059701493
Epoch 61: Train cost 0.110064074397, Train acc 0.997014925373, test acc 0.790298507463
Epoch 62: Train cost 0.107270210981, Train acc 0.997947761194, test acc 0.780597014925
Epoch 63: Train cost 0.107346147299, Train acc 0.997574626866, test acc 0.787313432836
Epoch 64: Train cost 0.109126493335, Train acc 0.99776119403, test acc 0.788805970149
Epoch 65: Train cost 0.109760820866, Train acc 0.99776119403, test acc 0.790298507463
Epoch 66: Train cost 0.104043237865, Train acc 0.998134328358, test acc 0.788059701493
Epoch 67: Train cost 0.10700443387, Train acc 0.997201492537, test acc 0.791791044776
Epoch 68: Train cost 0.106977030635, Train acc 0.998134328358, test acc 0.779850746269
Epoch 69: Train cost 0.104318372905, Train acc 0.998507462687, test acc 0.792537313433
Epoch 70: Train cost 0.103278830647, Train acc 0.998320895522, test acc 0.800746268657
the model has been saved !
Epoch 71: Train cost 0.101534895599, Train acc 0.998880597015, test acc 0.787313432836
Epoch 72: Train cost 0.105789586902, Train acc 0.998694029851, test acc 0.784328358209
Epoch 73: Train cost 0.105594456196, Train acc 0.99776119403, test acc 0.788805970149
Epoch 74: Train cost 0.101148024201, Train acc 0.998507462687, test acc 0.785820895522
Epoch 75: Train cost 0.107429757714, Train acc 0.996828358209, test acc 0.782835820896
Epoch 76: Train cost 0.102183885872, Train acc 0.998880597015, test acc 0.781343283582
Epoch 77: Train cost 0.101164884865, Train acc 0.998694029851, test acc 0.787313432836
Epoch 78: Train cost 0.105311505497, Train acc 0.998134328358, test acc 0.786567164179
Epoch 79: Train cost 0.101143360138, Train acc 0.998507462687, test acc 0.785820895522
Epoch 80: Train cost 0.103204101324, Train acc 0.997947761194, test acc 0.792537313433
Epoch 81: Train cost 0.103222414851, Train acc 0.998134328358, test acc 0.790298507463
Epoch 82: Train cost 0.103164978325, Train acc 0.99776119403, test acc 0.794029850746
Epoch 83: Train cost 0.0991918072104, Train acc 0.998507462687, test acc 0.788059701493
Epoch 84: Train cost 0.103688642383, Train acc 0.997574626866, test acc 0.788805970149
Epoch 85: Train cost 0.101573675871, Train acc 0.997947761194, test acc 0.784328358209
Epoch 86: Train cost 0.099940083921, Train acc 0.998320895522, test acc 0.787313432836
Epoch 87: Train cost 0.103368341923, Train acc 0.998134328358, test acc 0.787313432836
Epoch 88: Train cost 0.104719139636, Train acc 0.998134328358, test acc 0.785074626866
Epoch 89: Train cost 0.10252609849, Train acc 0.99776119403, test acc 0.776119402985
Epoch 90: Train cost 0.104762367904, Train acc 0.997388059701, test acc 0.801492537313
the model has been saved !
Epoch 91: Train cost 0.10169069469, Train acc 0.99776119403, test acc 0.785074626866
Epoch 92: Train cost 0.0993467345834, Train acc 0.998694029851, test acc 0.789552238806
Epoch 93: Train cost 0.102168641984, Train acc 0.998134328358, test acc 0.782089552239
Epoch 94: Train cost 0.102369345725, Train acc 0.998694029851, test acc 0.796268656716
Epoch 95: Train cost 0.101513020694, Train acc 0.99776119403, test acc 0.791044776119
Epoch 96: Train cost 0.103601001203, Train acc 0.997574626866, test acc 0.791044776119
Epoch 97: Train cost 0.100095301867, Train acc 0.998694029851, test acc 0.790298507463
