start time is: 2017-12-18 21:18:16
this experiment hyperparameters are:
LEARNING_RATE = 0.01
BATCH_SIZE = 16
NUM_EPOCHES = 300
model_file :/media/wangchen/newdata1/wangchen/work/Indoor/models/best_model.pkl

	#####其余要说明的事项#####这次实验是微调place预训练的权重。

Epoch 0: Train cost 2.33418250084, Train acc 0.398320895522, test acc 0.54776119403
Epoch 1: Train cost 1.11735188961, Train acc 0.676492537313, test acc 0.652985074627
Epoch 2: Train cost 0.586681485176, Train acc 0.821828358209, test acc 0.708955223881
Epoch 3: Train cost 0.315040379763, Train acc 0.903171641791, test acc 0.694029850746
Epoch 4: Train cost 0.172075346112, Train acc 0.947574626866, test acc 0.735820895522
Epoch 5: Train cost 0.121731452644, Train acc 0.964552238806, test acc 0.717164179104
Epoch 6: Train cost 0.0600576587021, Train acc 0.983395522388, test acc 0.725373134328
Epoch 7: Train cost 0.0637508779764, Train acc 0.984888059701, test acc 0.729850746269
Epoch 8: Train cost 0.0489666387439, Train acc 0.988059701493, test acc 0.703731343284
Epoch 9: Train cost 0.0424194969237, Train acc 0.988805970149, test acc 0.70447761194
Epoch 10: Train cost 0.03847040236, Train acc 0.989179104478, test acc 0.727611940299
Epoch 11: Train cost 0.0190626252443, Train acc 0.994962686567, test acc 0.716417910448
Epoch 12: Train cost 0.0159424506128, Train acc 0.997201492537, test acc 0.758208955224
Epoch 13: Train cost 0.00907839555293, Train acc 0.998320895522, test acc 0.751492537313
Epoch 14: Train cost 0.00773512432352, Train acc 0.998320895522, test acc 0.750746268657
Epoch 15: Train cost 0.00798331573606, Train acc 0.998134328358, test acc 0.733582089552
Epoch 16: Train cost 0.0185563098639, Train acc 0.996828358209, test acc 0.723134328358
Epoch 17: Train cost 0.0144727705047, Train acc 0.996828358209, test acc 0.74776119403
Epoch 18: Train cost 0.00674738967791, Train acc 0.998694029851, test acc 0.75671641791
Epoch 19: Train cost 0.00480437651277, Train acc 0.998507462687, test acc 0.759701492537
Epoch 20: Train cost 0.00325685553253, Train acc 0.999067164179, test acc 0.763432835821
Epoch 21: Train cost 0.00521111488342, Train acc 0.99776119403, test acc 0.750746268657
Epoch 22: Train cost 0.00562433199957, Train acc 0.998880597015, test acc 0.765671641791
Epoch 23: Train cost 0.00406286679208, Train acc 0.998507462687, test acc 0.761940298507
Epoch 24: Train cost 0.00454092258587, Train acc 0.998880597015, test acc 0.752985074627
Epoch 25: Train cost 0.00398063939065, Train acc 0.998694029851, test acc 0.760447761194
Epoch 26: Train cost 0.00420977594331, Train acc 0.998320895522, test acc 0.755970149254
Epoch 27: Train cost 0.00378350960091, Train acc 0.998694029851, test acc 0.762686567164
Epoch 28: Train cost 0.00376122538, Train acc 0.998507462687, test acc 0.769402985075
Epoch 29: Train cost 0.00407437095419, Train acc 0.998507462687, test acc 0.769402985075
Epoch 30: Train cost 0.00644206767902, Train acc 0.998507462687, test acc 0.766417910448
Epoch 31: Train cost 0.00363165512681, Train acc 0.998320895522, test acc 0.767910447761
Epoch 32: Train cost 0.00404973234981, Train acc 0.998320895522, test acc 0.770149253731
Epoch 33: Train cost 0.00314782490022, Train acc 0.998694029851, test acc 0.763432835821
Epoch 34: Train cost 0.00398338446394, Train acc 0.998320895522, test acc 0.767164179104
