
start time is: 2017-12-28 17:28:56

this experiment hyperparameters are:
config_file :/media/wangchen/newdata1/wangchen/work/Indoor/config/1228train_2.conf
learning_rate = 0.0005
batch_size = 20
num_epoches = 200
model_file :/media/wangchen/newdata1/wangchen/work/Indoor/models/bn_best_model.pkl

其余要说明的事项 ：添加了bn层。

Epoch 0: Train cost 4.15547466278, Train acc 0.0625, test acc 0.285820895522
Epoch 1: Train cost 2.35528326035, Train acc 0.419962686567, test acc 0.617910447761
Epoch 2: Train cost 1.40613269806, Train acc 0.642723880597, test acc 0.688805970149
Epoch 3: Train cost 1.00125920773, Train acc 0.738805970149, test acc 0.705970149254
Epoch 4: Train cost 0.715457379818, Train acc 0.827425373134, test acc 0.726865671642
Epoch 5: Train cost 0.545081496239, Train acc 0.879104477612, test acc 0.729850746269
Epoch 6: Train cost 0.411682248116, Train acc 0.921828358209, test acc 0.742537313433
Epoch 7: Train cost 0.319026559591, Train acc 0.950559701493, test acc 0.74552238806
Epoch 8: Train cost 0.255547821522, Train acc 0.969589552239, test acc 0.736567164179
Epoch 9: Train cost 0.202931985259, Train acc 0.982835820896, test acc 0.744029850746
Epoch 10: Train cost 0.181592777371, Train acc 0.987126865672, test acc 0.749253731343
Epoch 11: Train cost 0.159067109227, Train acc 0.989365671642, test acc 0.755223880597
Epoch 12: Train cost 0.144696936011, Train acc 0.992350746269, test acc 0.757462686567
Epoch 13: Train cost 0.134801387787, Train acc 0.99328358209, test acc 0.74776119403
Epoch 14: Train cost 0.127564132214, Train acc 0.994962686567, test acc 0.751492537313
Epoch 15: Train cost 0.122869521379, Train acc 0.99421641791, test acc 0.751492537313
Epoch 16: Train cost 0.116480626166, Train acc 0.995895522388, test acc 0.758955223881
Epoch 17: Train cost 0.116457670927, Train acc 0.99552238806, test acc 0.757462686567
Epoch 18: Train cost 0.110060274601, Train acc 0.996641791045, test acc 0.74552238806
Epoch 19: Train cost 0.109169736505, Train acc 0.996268656716, test acc 0.746268656716
Epoch 20: Train cost 0.105483993888, Train acc 0.996455223881, test acc 0.761194029851
Epoch 21: Train cost 0.100829765201, Train acc 0.997947761194, test acc 0.755223880597
Epoch 22: Train cost 0.100868619978, Train acc 0.997201492537, test acc 0.75671641791
Epoch 23: Train cost 0.101420946419, Train acc 0.997388059701, test acc 0.752985074627
Epoch 24: Train cost 0.0984129086137, Train acc 0.997947761194, test acc 0.75223880597
Epoch 25: Train cost 0.0948141589761, Train acc 0.998880597015, test acc 0.753731343284
Epoch 26: Train cost 0.0957156047225, Train acc 0.997388059701, test acc 0.75671641791
Epoch 27: Train cost 0.0928810462356, Train acc 0.99776119403, test acc 0.753731343284
Epoch 28: Train cost 0.0924256369472, Train acc 0.998134328358, test acc 0.761940298507
Epoch 29: Train cost 0.0949257016182, Train acc 0.997388059701, test acc 0.755223880597
Epoch 30: Train cost 0.0913377329707, Train acc 0.99776119403, test acc 0.758955223881
Epoch 31: Train cost 0.090825162828, Train acc 0.998320895522, test acc 0.757462686567
Epoch 32: Train cost 0.0906853303313, Train acc 0.998320895522, test acc 0.758955223881
Epoch 33: Train cost 0.0886681303382, Train acc 0.998694029851, test acc 0.751492537313
Epoch 34: Train cost 0.0882300361991, Train acc 0.998694029851, test acc 0.75671641791
Epoch 35: Train cost 0.0878595784307, Train acc 0.998694029851, test acc 0.751492537313
Epoch 36: Train cost 0.088024392724, Train acc 0.998134328358, test acc 0.758955223881
Epoch 37: Train cost 0.0872943922877, Train acc 0.998134328358, test acc 0.752985074627
Epoch 38: Train cost 0.0860689505935, Train acc 0.998694029851, test acc 0.764925373134
Epoch 39: Train cost 0.0883350372314, Train acc 0.997947761194, test acc 0.760447761194
Epoch 40: Train cost 0.0852682217956, Train acc 0.998507462687, test acc 0.755223880597
Epoch 41: Train cost 0.0862172544003, Train acc 0.99776119403, test acc 0.753731343284
Epoch 42: Train cost 0.0867673382163, Train acc 0.998320895522, test acc 0.755970149254
Epoch 43: Train cost 0.0862025618553, Train acc 0.998694029851, test acc 0.752985074627
Epoch 44: Train cost 0.0852201506495, Train acc 0.998507462687, test acc 0.753731343284
Epoch 45: Train cost 0.0856138169765, Train acc 0.998320895522, test acc 0.761194029851
Epoch 46: Train cost 0.0840258225799, Train acc 0.998880597015, test acc 0.760447761194
Epoch 47: Train cost 0.0840785205364, Train acc 0.998880597015, test acc 0.758208955224
Epoch 48: Train cost 0.085069142282, Train acc 0.997947761194, test acc 0.74776119403
Epoch 49: Train cost 0.0838221535087, Train acc 0.998507462687, test acc 0.753731343284
Epoch 50: Train cost 0.0849616527557, Train acc 0.998320895522, test acc 0.758208955224
Epoch 51: Train cost 0.0843114629388, Train acc 0.998507462687, test acc 0.760447761194
Epoch 52: Train cost 0.0844006091356, Train acc 0.998134328358, test acc 0.742537313433
Epoch 53: Train cost 0.0850711613894, Train acc 0.997947761194, test acc 0.757462686567
Epoch 54: Train cost 0.0830601751804, Train acc 0.998507462687, test acc 0.74776119403
Epoch 55: Train cost 0.0822931006551, Train acc 0.998694029851, test acc 0.749253731343
Epoch 56: Train cost 0.0825187042356, Train acc 0.998507462687, test acc 0.757462686567
Epoch 57: Train cost 0.0833752080798, Train acc 0.998507462687, test acc 0.755223880597
Epoch 58: Train cost 0.0816076770425, Train acc 0.999067164179, test acc 0.751492537313
Epoch 59: Train cost 0.0829114019871, Train acc 0.998320895522, test acc 0.766417910448
Epoch 60: Train cost 0.0826217234135, Train acc 0.998694029851, test acc 0.757462686567
Epoch 61: Train cost 0.0822841450572, Train acc 0.998134328358, test acc 0.755970149254
Epoch 62: Train cost 0.0815494433045, Train acc 0.998880597015, test acc 0.752985074627
Epoch 63: Train cost 0.0815982222557, Train acc 0.998507462687, test acc 0.750746268657
Epoch 64: Train cost 0.0815466418862, Train acc 0.999067164179, test acc 0.755970149254
Epoch 65: Train cost 0.0821037814021, Train acc 0.998507462687, test acc 0.759701492537
Epoch 66: Train cost 0.0814590007067, Train acc 0.998507462687, test acc 0.758955223881
Epoch 67: Train cost 0.0812018662691, Train acc 0.998507462687, test acc 0.75223880597
Epoch 68: Train cost 0.0801826417446, Train acc 0.999253731343, test acc 0.755970149254
Epoch 69: Train cost 0.080806799233, Train acc 0.998507462687, test acc 0.75671641791
Epoch 70: Train cost 0.0807846710086, Train acc 0.999253731343, test acc 0.758955223881
Epoch 71: Train cost 0.0812332257628, Train acc 0.998507462687, test acc 0.761194029851
Epoch 72: Train cost 0.081199772656, Train acc 0.998694029851, test acc 0.755223880597
Epoch 73: Train cost 0.0802213847637, Train acc 0.999253731343, test acc 0.764925373134
Epoch 74: Train cost 0.0814808383584, Train acc 0.998320895522, test acc 0.758208955224
Epoch 75: Train cost 0.0813194364309, Train acc 0.998507462687, test acc 0.755223880597
Epoch 76: Train cost 0.0803371146321, Train acc 0.998694029851, test acc 0.755223880597
Epoch 77: Train cost 0.0812023803592, Train acc 0.998320895522, test acc 0.75223880597
Epoch 78: Train cost 0.0801732465625, Train acc 0.999067164179, test acc 0.755970149254
Epoch 79: Train cost 0.0804473906755, Train acc 0.999067164179, test acc 0.761194029851
Epoch 80: Train cost 0.0814845710993, Train acc 0.999067164179, test acc 0.759701492537
Epoch 81: Train cost 0.0806704238057, Train acc 0.999253731343, test acc 0.758208955224
Epoch 82: Train cost 0.0816070660949, Train acc 0.998694029851, test acc 0.760447761194
Epoch 83: Train cost 0.0815884917974, Train acc 0.997947761194, test acc 0.75447761194
Epoch 84: Train cost 0.0804127827287, Train acc 0.998694029851, test acc 0.758208955224
