
start time is: 2017-12-29 20:17:56

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/1229train_4.conf
learning_rate = 0.001
batch_size = 20
num_epoches = 200
model_file :/home/ubuntu/wangchen/work/Indoor/models/bn_best_model.pkl

其余要说明的事项 ：bn，调整学习率和batch_zize。

Epoch 0: Train cost 3.53815817833, Train acc 0.193470149254, test acc 0.550746268657
Epoch 1: Train cost 1.57764220238, Train acc 0.591604477612, test acc 0.661194029851
Epoch 2: Train cost 0.990948557854, Train acc 0.757835820896, test acc 0.700746268657
Epoch 3: Train cost 0.62455457449, Train acc 0.866044776119, test acc 0.717910447761
Epoch 4: Train cost 0.432029932737, Train acc 0.928171641791, test acc 0.708208955224
Epoch 5: Train cost 0.314735203981, Train acc 0.961567164179, test acc 0.729104477612
Epoch 6: Train cost 0.259039968252, Train acc 0.978917910448, test acc 0.726865671642
Epoch 7: Train cost 0.225312337279, Train acc 0.987873134328, test acc 0.738059701493
Epoch 8: Train cost 0.208446696401, Train acc 0.991044776119, test acc 0.741791044776
Epoch 9: Train cost 0.198419988155, Train acc 0.993843283582, test acc 0.746268656716
Epoch 10: Train cost 0.187802866101, Train acc 0.994589552239, test acc 0.739552238806
Epoch 11: Train cost 0.185141444206, Train acc 0.993843283582, test acc 0.750746268657
Epoch 12: Train cost 0.180019244552, Train acc 0.996082089552, test acc 0.75671641791
Epoch 13: Train cost 0.175095885992, Train acc 0.995895522388, test acc 0.752985074627
Epoch 14: Train cost 0.171029150486, Train acc 0.997947761194, test acc 0.749253731343
Epoch 15: Train cost 0.171452686191, Train acc 0.997201492537, test acc 0.757462686567
Epoch 16: Train cost 0.169603511691, Train acc 0.997574626866, test acc 0.755223880597
Epoch 17: Train cost 0.165734693408, Train acc 0.997947761194, test acc 0.761194029851
Epoch 18: Train cost 0.166016951203, Train acc 0.997201492537, test acc 0.755223880597
Epoch 19: Train cost 0.164483979344, Train acc 0.997388059701, test acc 0.762686567164
Epoch 20: Train cost 0.162847489119, Train acc 0.997947761194, test acc 0.770895522388
Epoch 21: Train cost 0.164441585541, Train acc 0.997388059701, test acc 0.759701492537
Epoch 22: Train cost 0.16188801825, Train acc 0.997947761194, test acc 0.761940298507
Epoch 23: Train cost 0.161511987448, Train acc 0.998134328358, test acc 0.763432835821
Epoch 24: Train cost 0.163319706917, Train acc 0.997388059701, test acc 0.75447761194
Epoch 25: Train cost 0.159808546305, Train acc 0.998320895522, test acc 0.753731343284
Epoch 26: Train cost 0.161224246025, Train acc 0.997574626866, test acc 0.761940298507
Epoch 27: Train cost 0.159712806344, Train acc 0.998320895522, test acc 0.761940298507
Epoch 28: Train cost 0.158622965217, Train acc 0.998507462687, test acc 0.75671641791
Epoch 29: Train cost 0.158534675837, Train acc 0.998320895522, test acc 0.760447761194
Epoch 30: Train cost 0.157462373376, Train acc 0.998320895522, test acc 0.758955223881
Epoch 31: Train cost 0.158320635557, Train acc 0.998507462687, test acc 0.755970149254
Epoch 32: Train cost 0.158021569252, Train acc 0.998320895522, test acc 0.757462686567
Epoch 33: Train cost 0.159698292613, Train acc 0.998320895522, test acc 0.762686567164
Epoch 34: Train cost 0.15638898313, Train acc 0.998320895522, test acc 0.760447761194
Epoch 35: Train cost 0.158031329513, Train acc 0.997947761194, test acc 0.763432835821
Epoch 36: Train cost 0.157129913568, Train acc 0.998880597015, test acc 0.768656716418
Epoch 37: Train cost 0.158340379596, Train acc 0.99776119403, test acc 0.768656716418
Epoch 38: Train cost 0.156590476632, Train acc 0.998507462687, test acc 0.761194029851
Epoch 39: Train cost 0.156137928367, Train acc 0.998507462687, test acc 0.768656716418
Epoch 40: Train cost 0.156522512436, Train acc 0.998507462687, test acc 0.765671641791
Epoch 41: Train cost 0.155704528093, Train acc 0.998507462687, test acc 0.764179104478
Epoch 42: Train cost 0.156736627221, Train acc 0.998507462687, test acc 0.75447761194
Epoch 43: Train cost 0.155896827579, Train acc 0.998320895522, test acc 0.762686567164
Epoch 44: Train cost 0.155283436179, Train acc 0.998507462687, test acc 0.762686567164
Epoch 45: Train cost 0.156685382128, Train acc 0.998134328358, test acc 0.758955223881
Epoch 46: Train cost 0.155734106898, Train acc 0.999067164179, test acc 0.765671641791
Epoch 47: Train cost 0.155063971877, Train acc 0.998507462687, test acc 0.764179104478
Epoch 48: Train cost 0.154318705201, Train acc 0.998694029851, test acc 0.767164179104
Epoch 49: Train cost 0.154096633196, Train acc 0.998694029851, test acc 0.761940298507
Epoch 50: Train cost 0.155021548271, Train acc 0.998880597015, test acc 0.767164179104
Epoch 51: Train cost 0.153975859284, Train acc 0.999067164179, test acc 0.767910447761
Epoch 52: Train cost 0.154850691557, Train acc 0.998694029851, test acc 0.761194029851
Epoch 53: Train cost 0.154513940215, Train acc 0.998694029851, test acc 0.760447761194
Epoch 54: Train cost 0.153688177466, Train acc 0.998880597015, test acc 0.767910447761
Epoch 55: Train cost 0.154631942511, Train acc 0.998320895522, test acc 0.762686567164
Epoch 56: Train cost 0.15484932065, Train acc 0.998507462687, test acc 0.769402985075
Epoch 57: Train cost 0.153739705682, Train acc 0.998507462687, test acc 0.768656716418
Epoch 58: Train cost 0.153485193849, Train acc 0.998694029851, test acc 0.765671641791
Epoch 59: Train cost 0.154411435127, Train acc 0.998507462687, test acc 0.770895522388
Epoch 60: Train cost 0.154131561518, Train acc 0.998880597015, test acc 0.764925373134
Epoch 61: Train cost 0.154755264521, Train acc 0.998320895522, test acc 0.762686567164
Epoch 62: Train cost 0.154335230589, Train acc 0.998694029851, test acc 0.770149253731
Epoch 63: Train cost 0.154312774539, Train acc 0.998320895522, test acc 0.766417910448
Epoch 64: Train cost 0.153924584389, Train acc 0.998507462687, test acc 0.766417910448
Epoch 65: Train cost 0.154051452875, Train acc 0.998694029851, test acc 0.765671641791
Epoch 66: Train cost 0.153958037496, Train acc 0.998507462687, test acc 0.764925373134
Epoch 67: Train cost 0.154700294137, Train acc 0.998320895522, test acc 0.767164179104
Epoch 68: Train cost 0.15470507741, Train acc 0.997947761194, test acc 0.761194029851
Epoch 69: Train cost 0.154467657208, Train acc 0.998320895522, test acc 0.765671641791
Epoch 70: Train cost 0.153350040317, Train acc 0.998507462687, test acc 0.768656716418
Epoch 71: Train cost 0.153573006392, Train acc 0.998694029851, test acc 0.769402985075
Epoch 72: Train cost 0.153322026134, Train acc 0.998320895522, test acc 0.762686567164
Epoch 73: Train cost 0.153827831149, Train acc 0.998694029851, test acc 0.770149253731
Epoch 74: Train cost 0.153122663498, Train acc 0.998694029851, test acc 0.770895522388
Epoch 75: Train cost 0.153344318271, Train acc 0.998880597015, test acc 0.766417910448
Epoch 76: Train cost 0.153398543596, Train acc 0.998320895522, test acc 0.764179104478
Epoch 77: Train cost 0.153399378061, Train acc 0.998880597015, test acc 0.761940298507
Epoch 78: Train cost 0.153472900391, Train acc 0.997947761194, test acc 0.766417910448
Epoch 79: Train cost 0.15341937542, Train acc 0.998694029851, test acc 0.767164179104
Epoch 80: Train cost 0.153201773763, Train acc 0.998507462687, test acc 0.767164179104
Epoch 81: Train cost 0.153910830617, Train acc 0.998507462687, test acc 0.763432835821
Epoch 82: Train cost 0.154058769345, Train acc 0.998320895522, test acc 0.770149253731
Epoch 83: Train cost 0.153327777982, Train acc 0.998507462687, test acc 0.764179104478
Epoch 84: Train cost 0.153232485056, Train acc 0.998694029851, test acc 0.776119402985
Epoch 85: Train cost 0.153440237045, Train acc 0.998320895522, test acc 0.770149253731
Epoch 86: Train cost 0.15344697237, Train acc 0.998880597015, test acc 0.764925373134
Epoch 87: Train cost 0.153007522225, Train acc 0.998694029851, test acc 0.767910447761
Epoch 88: Train cost 0.153257459402, Train acc 0.998880597015, test acc 0.771641791045
Epoch 89: Train cost 0.152872204781, Train acc 0.998507462687, test acc 0.767910447761
Epoch 90: Train cost 0.152655005455, Train acc 0.998880597015, test acc 0.774626865672
Epoch 91: Train cost 0.152904167771, Train acc 0.998880597015, test acc 0.771641791045
Epoch 92: Train cost 0.152827173471, Train acc 0.998694029851, test acc 0.764925373134
Epoch 93: Train cost 0.152763053775, Train acc 0.998880597015, test acc 0.770149253731
Epoch 94: Train cost 0.153573930264, Train acc 0.998134328358, test acc 0.776865671642
Epoch 95: Train cost 0.15227971971, Train acc 0.998880597015, test acc 0.771641791045
Epoch 96: Train cost 0.152652427554, Train acc 0.998880597015, test acc 0.766417910448
Epoch 97: Train cost 0.153320357203, Train acc 0.998880597015, test acc 0.774626865672
Epoch 98: Train cost 0.153136402369, Train acc 0.998134328358, test acc 0.763432835821
Epoch 99: Train cost 0.152552515268, Train acc 0.998320895522, test acc 0.770149253731
Epoch 100: Train cost 0.152503088117, Train acc 0.998694029851, test acc 0.772388059701
Epoch 101: Train cost 0.152972042561, Train acc 0.998507462687, test acc 0.770149253731
Epoch 102: Train cost 0.152346149087, Train acc 0.998880597015, test acc 0.769402985075
Epoch 103: Train cost 0.151854500175, Train acc 0.999440298507, test acc 0.771641791045
Epoch 104: Train cost 0.152516916394, Train acc 0.998507462687, test acc 0.768656716418
Epoch 105: Train cost 0.153215125203, Train acc 0.998320895522, test acc 0.770149253731
Epoch 106: Train cost 0.152898728848, Train acc 0.998507462687, test acc 0.768656716418
Epoch 107: Train cost 0.152413710952, Train acc 0.998880597015, test acc 0.762686567164
Epoch 108: Train cost 0.151961490512, Train acc 0.998880597015, test acc 0.761940298507
Epoch 109: Train cost 0.152292624116, Train acc 0.998880597015, test acc 0.767910447761
Epoch 110: Train cost 0.152772217989, Train acc 0.999067164179, test acc 0.768656716418
Epoch 111: Train cost 0.152111813426, Train acc 0.998880597015, test acc 0.767910447761
Epoch 112: Train cost 0.152034476399, Train acc 0.998880597015, test acc 0.765671641791
Epoch 113: Train cost 0.153338566422, Train acc 0.998320895522, test acc 0.761194029851
Epoch 114: Train cost 0.152054920793, Train acc 0.998507462687, test acc 0.767164179104
Epoch 115: Train cost 0.152476146817, Train acc 0.999067164179, test acc 0.764925373134
Epoch 116: Train cost 0.15274836123, Train acc 0.998320895522, test acc 0.768656716418
Epoch 117: Train cost 0.151807412505, Train acc 0.999253731343, test acc 0.767164179104
Epoch 118: Train cost 0.152156412601, Train acc 0.999253731343, test acc 0.772388059701
Epoch 119: Train cost 0.152149125934, Train acc 0.999067164179, test acc 0.764925373134
Epoch 120: Train cost 0.1519728899, Train acc 0.998694029851, test acc 0.766417910448
Epoch 121: Train cost 0.152487576008, Train acc 0.998507462687, test acc 0.766417910448
Epoch 122: Train cost 0.151901632547, Train acc 0.998694029851, test acc 0.771641791045
Epoch 123: Train cost 0.152376547456, Train acc 0.998320895522, test acc 0.767910447761
Epoch 124: Train cost 0.152798384428, Train acc 0.998507462687, test acc 0.770149253731
Epoch 125: Train cost 0.151915609837, Train acc 0.998880597015, test acc 0.770149253731
Epoch 126: Train cost 0.151802510023, Train acc 0.998880597015, test acc 0.767910447761
Epoch 127: Train cost 0.152356132865, Train acc 0.998320895522, test acc 0.770895522388
Epoch 128: Train cost 0.151910558343, Train acc 0.998880597015, test acc 0.770149253731
Epoch 129: Train cost 0.15235131979, Train acc 0.998694029851, test acc 0.766417910448
Epoch 130: Train cost 0.152754440904, Train acc 0.998134328358, test acc 0.773134328358
Epoch 131: Train cost 0.151734218001, Train acc 0.999253731343, test acc 0.770895522388
Epoch 132: Train cost 0.151696130633, Train acc 0.998880597015, test acc 0.770895522388
Epoch 133: Train cost 0.151780769229, Train acc 0.998880597015, test acc 0.763432835821
Epoch 134: Train cost 0.152030944824, Train acc 0.998880597015, test acc 0.764179104478
